all,AO1.L
amish,EY1.M.IH0.SH
forget,F.AO2.R.G.EH1.T
atmore,AE1.T.M.OW0.ER0
albondigas,AE0.L.B.OW1.N.D.IH0.G.AH0.S
ale,EY1.L
amplifier,AE1.M.P.L.AH0.F.AY2.ER0
ala,AH1.L.AH0
angel_tree,EY1.N.JH.AH0.L.T.R.IY1
avalanche,AE1.V.AH0.L.AE2.N.CH
asian,EY1.ZH.AH0.N
aides,EY1.D.Z
aristocrat,ER0.IH1.S.T.AH0.K.R.AE2.T
alt,AA1.L.T
abundant,AH0.B.AH1.N.D.AH0.N.T
ammonia,AH0.M.OW1.N.Y.AH0
afrom,AH0.F.R.AA1.M
anticipation,AE2.N.T.IH2.S.AH0.P.EY1.SH.AH0.N
amante,AA0.M.AA1.N.T.IY0
effort,EH1.F.ER0.T
arid,EH1.R.AH0.D
arrogance,EH1.R.AH0.G.AH0.N.S
accounting,AH0.K.AW1.N.IH0.NG
amaze,AH0.M.EY1.Z
all_around,AO1.L.ER0.AW1.N
anti-communist,AE1.N.T.IY0.K.AA1.M.Y.UW0.N.IH0.S.T
adjudicate,AH0.JH.UW1.D.IH0.K.EY2.T
atlas,AE1.T.L.AH0.S
Atlanta,AE0.T.L.AE1.N.T.AH0
adapt,AH0.D.AE1.P.T
annoy,AH0.N.OY1
allergy,AE1.L.ER0.JH.IY0
ferret,F.EH1.R.AH0.T
advantage,AE2.D.V.AE1.N.IH0.JH
lima_bean,L.IY1.M.AH0.B.IY1.N
amorphous,AH0.M.AO1.R.F.AH0.S
airshock,EH1.R.SH.AA0.K
apperceive,AE0.P.ER0.S.IY1.V
accuse,AH0.K.Y.UW1.Z
artwork,AA1.R.T.W.ER2.K
awful,AO1.F.AH0.L
affect,AH0.F.EH1.K.T
authentic,AO2.TH.EH1.N.IH0.K
arrange,ER0.EY1.N.JH
amarelle,AE1.M.AH0.R.EH0.L
alma,AO1.L.M.AH0
asparagus,AH0.S.P.EH1.R.AH0.G.AH0.S
apartheid,AH0.P.AA1.R.T.AY2.T
aster,AE1.S.T.ER0
applicable,AE1.P.L.AH0.K.AH0.B.AH0.L
anxious,AE1.NG.K.SH.AH0.S
adjust,AH0.JH.AH1.S.T
abbot,AE1.B.AH0.T
anal,EY1.N.AH0.L
agrarian,AH0.G.R.EH1.R.IY0.AH0.N
attic,AE1.T.IH0.K
abridge,AH0.B.R.IH1.JH
all_about,AO1.L.AH0.B.AW1.T
almond,AA1.M.AH0.N.D
agitate,AE1.JH.AH0.T.EY2.T
anaconda,AE2.N.AH0.K.AA1.N.D.AH0
ardent,AA1.R.D.AH0.N.T
abominable,AH0.B.AA1.M.AH0.N.AH0.B.AH0.L
acid,AE1.S.AH0.D
aggressive,AH0.G.R.EH1.S.IH0.V
aphrodisiac,AE2.F.R.OW0.D.IY1.Z.IY0.AE2.K
acrimonious,AE2.K.R.AH0.M.OW1.N.IY0.AH0.S
aim,EY1.M
abe,EY1.B
anthem,AE1.N.TH.AH0.M
assistance,AH0.S.IH1.S.T.AH0.N.S
anniversary,AE2.N.AH0.V.ER1.S.ER0.IY0
asia,EY1.ZH.AH0
access,AE1.K.S.EH2.S
Amazon,AE1.M.AH0.Z.AA0.N
abs,AE1.B.Z
ampersand,AE1.M.P.ER0.S.AE2.N.D
above,AH0.B.AH1.V
attire,AH0.T.AY1.ER0
lima_beans,L.IY1.M.AH0.B.IY1.N.Z
America,AH0.M.EH1.R.IH0.K.AH0
admiral,AE1.D.M.ER0.AH0.L
avert,AH0.V.ER1.T
abscond,AE2.B.S.K.AA1.N.D
alkaline,AE1.L.K.AH0.L.AY2.N
anthropology,AE2.N.TH.R.AH0.P.AA1.L.AH0.JH.IY0
elbow,EH1.L.B.OW0
asymmetry,EY2.S.IH1.M.AH0.T.R.IY0
apartment,AH0.P.AA1.R.T.M.AH0.N.T
address,AE1.D.R.EH2.S
active,AE1.K.T.IH0.V
aftermath,AE1.F.T.ER0.M.AE2.TH
along,AH0.L.AO1.NG
aren't,AA1.R.AH0.N.T
arch,AA1.R.CH
although,AO2.L.DH.OW1
alto,AE1.L.T.OW0
ahead,AH0.HH.EH1.D
aleve,AH0.L.IY1.V
auction,AO1.K.SH.AH0.N
aardvark,AA1.R.D.V.AA0.R.K
aromas,ER0.OW1.M.AH0.Z
alaska,AH0.L.AE1.S.K.AH0
anchor,AE1.NG.K.ER0
airport,EH1.R.P.AO2.R.T
advertising,AE2.D.V.ER0.T.AY1.Z.IH0.NG
orangutan,AO2.R.AE1.NG.AH0.T.AE2.N
Arabia,AH0.R.EY1.B.IY0.AH0
Arabic,AE1.R.AH0.B.IH0.K
automaton,AO2.T.AA1.M.AH0.T.AA2.N
astute,AH0.S.T.UW1.T
abominate,AH0.B.AA1.M.AH0.N.EY0.T
abate,AH0.B.EY1.T
adenoids,AE1.D.AH0.N.OY2.D.Z
africa,AE1.F.ER0.K.AH0
apt,AE1.P.T
ajar,AH0.JH.AA1.R
armoire,AA1.M.W.AA2.R
appliances,AH0.P.L.AY1.AH0.N.S.IH0.Z
ailing,EY1.L.IH0.NG
atrocious,AH0.T.R.OW1.SH.AH0.S
aberrant,AE2.B.EH1.R.AH0.N.T
absolution,AE2.B.S.AH0.L.UW1.SH.AH0.N
abase,AH0.B.EH1.S
additive,AE1.D.IH0.T.IH0.V
August,AO1.G.AH0.S.T
Adairville,EY2.D.EY0.R.V.IH0.L
alligator,AE1.L.AH0.G.EY2.T.ER0
angry,AE1.NG.G.R.IY0
arms,AA1.R.M.Z
acrobat,AE1.K.R.AH0.B.AE2.T
almost,AO1.L.M.OW2.S.T
asteroid,AE1.S.T.ER0.OY2.D
archives,AA1.R.K.AY2.V.Z
aperture,AE1.P.ER0.CH.ER0
aprobation,AE1.P.R.OW0.B.EY2.SH.AH0.N
aspirin,AE1.S.P.R.IH0.N
aflang,AH0.F.L.AE1.NG
abridged,AH0.B.R.IH1.JH.D
advance,AH0.D.V.AE1.N.S
alcove,AE1.L.K.OW2.V
altar,AO1.L.T.ER0
apparent,AH0.P.EH1.R.AH0.N.T
award,AH0.W.AO1.R.D
aware,AH0.W.EH1.R
appendix,AH0.P.EH1.N.D.IH0.K.S
ain't,EY1.N.T
adult,AE1.D.AH0.L.T
rabbit,R.AE1.B.IH0.T
adamant,AE1.D.AH0.M.AH0.N.T
alderman,AE1.L.D.ER0.M.AH0.N
analogous,AH0.N.AE1.L.AH0.G.AH0.S
abundance,AH0.B.AH1.N.D.AH0.N.S
atone,AH0.T.OW1.N
account,AH0.K.AW1.N.T
animals,AE1.N.AH0.M.AH0.L.Z
ace,EY1.S
augment,AO2.G.M.EH1.N.T
athlete,AE1.TH.L.IY2.T
abortion,AH0.B.AO1.R.SH.AH0.N
cat,K.AE1.T
anywhere,EH1.N.IY0.HH.W.EH2.R
anchorage,AE1.NG.K.ER0.AH0.JH
appendage,AH0.P.EH1.N.D.IH0.JH
apoplexy,AE1.P.AH0.P.L.EH2.K.S.IY0
arrive,ER0.AY1.V
appraisal,AH0.P.R.EY1.Z.AH0.L
abstinence,AE1.B.S.T.AH0.N.AH0.N.S
aggrandize,AH0.G.R.AE1.N.D.AY2.Z
antagonists,AE0.N.T.AE1.G.AH0.N.AH0.S
appaloosa,AE0.P.AH0.L.UW1.S.AH0
figure,F.IH1.G.Y.ER0
amazons,AE1.M.AH0.Z.AA2.N.Z
attribute,AE1.T.R.AH0.B.Y.UW2.T
awesome,AO1.S.AH0.M
artillery,AA2.R.T.IH1.L.ER0.IY0
accept,AE2.K.S.EH1.P.T
archipelago,AA2.R.K.AH0.P.EH1.L.AH0.G.OW0
Allcare,AA1.L.K.EH1.R
abort,AH0.B.AO1.R.T
alright,AO2.L.R.AY1.T
anteater,AE1.N.T.IY2.T.ER0
arise,ER0.AY1.Z
ascension,AH0.S.EH1.N.SH.AH0.N
airplane,EH1.R.P.L.EY2.N
allege,AH0.L.EH1.JH
absolute,AE1.B.S.AH0.L.UW2.T
autonomy,AO2.T.AA1.N.AH0.M.IY0
arbor,AA1.R.B.ER0
awkward,AO1.K.W.ER0.D
acrimony,AE1.K.R.IH0.M.OW2.N.IY0
agony,AE1.G.AH0.N.IY0
ambush,AE1.M.B.UH2.SH
amazing,AH0.M.EY1.Z.IH0.NG
forest,F.AO1.R.IH0.S.T
animal,AE1.N.AH0.M.AH0.L
elephant,EH1.L.AH0.F.AH0.N.T
aft,AE1.F.T
wolf,W.UH1.L.F
axis,AE1.K.S.AH0.S
allible,AE1.L.AH0.B.AH0.L
anime,AE1.N.AH0.M.EH0
abrasive,AH0.B.R.EY1.S.IH0.V
abstraction,AE2.B.S.T.R.AE1.K.SH.AH0.N
abdicate,AE1.B.D.AH0.K.EY2.T
attend,AH0.T.EH1.N.D
algebra,AE1.L.JH.AH0.B.R.AH0
advice,AE2.D.V.AY1.S
after,AE1.F.T.ER0
abdomen,AE2.B.D.OW1.M.AH0.N
accessory,AE2.K.S.EH1.S.ER0.IY0
aperative,AH0.P.EH1.R.AH0.T.IH0.V
abuse,AH0.B.Y.UW1.Z
ark,AA1.R.K
adventure,AE2.D.V.EH1.N.CH.ER0
atune,AH0.T.Y.UW1.N
alibis,AE1.L.AH0.B.AY2.Z
antonym,AE1.N.T.AH0.N.IH0.M
autograph,AO1.T.AH0.G.R.AE2.F
ambivalent,AE2.M.B.IH1.V.AH0.L.AH0.N.T
a,EY1
appoints,AH0.P.OY1.N.T.S
assassin,AH0.S.AE1.S.AH0.N
attempt,AH0.T.EH1.M.P.T
absinthe,AE1.B.S.IH0.N.TH
amuse,AH0.M.Y.UW1.Z
appreciate,AH0.P.R.IY1.SH.IY0.EY2.T
avarice,AE1.V.ER0.AH0.S
anytime,EH1.N.IY0.T.AY2.M
alias,EY1.L.IY0.AH0.S
adversal,AE0.V.ER1.S.AH0.L
allot,AH0.L.AA1.T
allow,AH0.L.AW1
ambulance,AE1.M.B.Y.AH0.L.AH0.N.S
alloy,AE1.L.OY2
amber,AE1.M.B.ER0
afit,AH0.F.IH1.T
anonymous,AH0.N.AA1.N.AH0.M.AH0.S
argyle,AA1.R.G.AY2.L
azerbaijan,AE2.Z.ER0.B.AY0.JH.AA1.N
alacrity,AH0.L.AE1.K.R.AH0.T.IY0
attitude,AE1.T.AH0.T.UW2.D
artichoke,AA1.R.T.IH0.CH.OW2.K
artery,AA1.R.T.ER0.IY0
avenue,AE1.V.AH0.N.UW2
arrogant,EH1.R.AH0.G.AH0.N.T
astrology,AH0.S.T.R.AA1.L.AH0.JH.IY0
adhesive,AE2.D.HH.IY1.S.IH0.V
apes,EY1.P.S
accordion,AH0.K.AO1.R.D.IY0.AH0.N
apex,EY1.P.EH2.K.S
avocado,AE2.V.AH0.K.AA1.D.OW0
abbey,AE1.B.IY0
approve,AH0.P.R.UW1.V
Appalachian_mountains,AE0.P.AH0.L.EY1.CH.AH0.N.M.AW1.N.T.AH0.N.Z.M.AW1.N.T.AH0.N.Z
allen_wrench,AE1.L.AH0.N.R.EH1.N.CH
fig,F.IH1.G
farmer,F.AA1.R.M.ER0
orange,AO1.R.IH0.N.JH
alpine,AE1.L.P.AY2.N
all_through,AO1.L.TH.R.UW1
alter,AO1.L.T.ER0
ally,AE1.L.AY2
apron,EY1.P.R.AH0.N
adjacent,AH0.JH.EY1.S.AH0.N.T
animate,AE1.N.AH0.M.EY2.T
food,F.UW1.D
auto,AO1.T.OW0
answer,AE1.N.S.ER0
giraffe,JH.ER0.AE1.F
Adam,AE1.D.AH0.M
ambition,AE2.M.B.IH1.SH.AH0.N
accumulate,AH0.K.Y.UW1.M.Y.AH0.L.EY2.T
acidic,AH0.S.IH1.D.IH0.K
abacus,AE1.B.AH0.K.AH0.S
advise,AE2.D.V.AY1.Z
abastos,AH0.B.AA1.S.T.OW0.S
annoint,AH0.N.OY1.N.T
assess,AH0.S.EH1.S
aluminum,AH0.L.UW1.M.AH0.N.AH0.M
always,AO1.L.W.EY2.Z
nauseous,N.AO1.SH.AH0.S
advent,AE1.D.V.EH2.N.T
absolve,AE2.B.Z.AA1.L.V
alexis,AH0.L.EH1.K.S.IH0.S
affiliate,AH0.F.IH1.L.IY0.EY2.T
arrow,EH1.R.OW0
adore,AH0.D.AO1.R
addicted,AH0.D.IH1.K.T.IH0.D
acoustic,AH0.K.UW1.S.T.IH0.K
activate,AE1.K.T.AH0.V.EY2.T
fish,F.IH1.SH
aide,EY1.D
aggravated,AE1.G.R.AH0.V.EY2.T.IH0.D
affluent,AE1.F.L.UW0.AH0.N.T
agriculture,AE1.G.R.IH0.K.AH2.L.CH.ER0
anarchy,AE1.N.ER0.K.IY0
agoraphobia,AH0.G.AO2.R.AH0.F.OW1.B.IY0.AH0
album,AE1.L.B.AH0.M
accomplish,AH0.K.AA1.M.P.L.IH0.SH
alcohol,AE1.L.K.AH0.HH.AA2.L
actor,AE1.K.T.ER0
armor,AA1.R.M.ER0
forty,F.AO1.R.T.IY0
abide,AH0.B.AY1.D
adhere,AH0.D.HH.IH1.R
fellowship,F.EH1.L.OW0.SH.IH2.P
acting,AE1.K.T.IH0.NG
activist,AE1.K.T.IH0.V.IH0.S.T
amethyst,AE1.M.IH0.TH.IH0.S.T
anorexia,AE2.N.ER0.EH1.K.S.IY0.AH0
ass,AE1.S
asymptote,AE1.S.IH0.M.P.T.OW2.T
abbott,AE1.B.AH0.T
asp,AE1.S.P
anyplace,EH1.N.IY0.P.L.EY2.S
associate,AH0.S.OW1.SH.IY0.EY2.T
abuela,AH0.B.W.EY1.L.AH0
ajax,EY1.JH.AE2.K.S
ancestry,AE1.N.S.EH2.S.T.R.IY0
antioch,AE1.N.T.IY0.AA2.K
acorn,EY1.K.AO2.R.N
ask,AE1.S.K
anyhow,EH1.N.IY0.HH.AW2
ash,AE1.SH
afterward,AE1.F.T.ER0.W.ER0.D
afterthought,AE1.F.T.ER0.TH.AO2.T
aisle,AY1.AH0.L
albatross,AE1.L.B.AH0.T.R.AA2.S
ate,EY1.T
adolescent,AE2.D.OW0.L.EH1.S.AH0.N.T
afternoon,AE2.F.T.ER0.N.UW1.N
Anniston,AE1.N.IH0.S.T.AH0.N
ostrich,AO1.S.T.R.IH0.CH
american,AH0.M.EH1.R.IH0.K.AH0.N
apple,AE1.P.AH0.L
anecdote,AE1.N.AH0.K.D.OW2.T
aspire,AH0.S.P.AY1.R
apocalypse,AH0.P.AA1.K.AH0.L.IH2.P.S
austin,AO1.S.T.AH0.N
ammo,AE1.M.OW0
arterial,AA2.R.T.IH1.R.IY0.AH0.L
already,AO2.R.EH1.D.IY0
angelic,AE2.N.JH.EH1.L.IH0.K
Afghanistan,AE0.F.G.AE1.N.IH0.S.T.AE0.N
arsenal,AA1.R.S.AH0.N.AH0.L
Asia,EY1.ZH.AH0
antiquity,AE2.N.T.IH1.K.W.AH0.T.IY0
adduce,AE0.D.Y.UW1.S
lettuce,L.EH1.T.AH0.S
amidst,AH0.M.IH1.D.S.T
another,AH0.N.AH1.DH.ER0
affliction,AH0.F.L.IH1.K.SH.AH0.N
open,OW1.P.AH0.N
cabbage,K.AE1.B.IH0.JH
ancient,EY1.N.SH.AH0.N.T
monkey,M.AH1.NG.K.IY0
automobile,AO2.T.AH0.M.OW0.B.IY1.L
assure,AH0.SH.UH1.R
accent,AE1.K.S.EH2.N.T
accordingly,AH0.K.AO1.R.D.IH0.NG.L.IY0
airborne,EH1.R.B.AO2.R.N
aviator,EY1.V.IY0.EY2.T.ER0
anyone,EH1.N.IY0.W.AH2.N
attach,AH0.T.AE1.CH
attack,AH0.T.AE1.K
ankle,AE1.NG.K.AH0.L
airy,EH1.R.IY0
banana,B.AH0.N.AE1.N.AH0
tomato,T.AH0.M.EY1.T.OW0
fancy,F.AE1.N.S.IY0
aerate,EH1.ER0.EH0.T
argot,AA1.R.G.AH0.T
academy,AH0.K.AE1.D.AH0.M.IY0
acquire,AH0.K.W.AY1.ER0
artifact,AA1.R.T.AH0.F.AE2.K.T
appreciation,AH0.P.R.IY2.SH.IY0.EY1.SH.AH0.N
argon,AA1.R.G.AA2.N
alas,AH0.L.AE1.S
antic,AE1.N.T.IH0.K
attract,AH0.T.R.AE1.K.T
agaripton,AE0.G.AH0.R.IH1.P.T.AA0.N
appreciated,AH0.P.R.IY1.SH.IY0.EY2.T.IH0.D
apprentice,AH0.P.R.EH1.N.T.IH0.S
anxiety,AE2.NG.Z.AY1.AH0.T.IY0
allure,AH0.L.UH1.R
affront,AH0.F.R.AH1.N.T
frankly,F.R.AE1.NG.K.L.IY0
antitoxin,AE2.N.T.IY0.T.AA1.K.S.AH0.N
anticipate,AE2.N.T.IH1.S.AH0.P.EY2.T
aims,EY1.M.Z
advertize,AE2.D.V.ER0.T.AY1.Z
aver,EY1.V.ER0
autumn,AO1.T.AH0.M
antifreeze,AE1.N.T.IY0.F.R.IY2.Z
architect,AA1.R.K.AH0.T.EH2.K.T
apples,AE1.P.AH0.L.Z
amplitude,AE1.M.P.L.AH0T.Y.UW2.D
aesthetic,EH2.S.TH.EH1.T.IH0.K
adducent,AE0.D.Y.UW1.S.AH0.N.T
agate,AE1.G.AH0.T
allergic,AH0.L.ER1.JH.IH0.K
amble,AE1.M.B.AH0.L
and,AE1.N.D
acclaim,AH0.K.L.EY1.M
acrombie,AH0.K.R.AA1.M.B.IY0
anus,EY1.N.AH0.S
Alzheimer's,AA0.L.T.S.HH.AY1.M.ER0.Z
arduous,AA1.R.JH.UW0.AH0.S
actuary,AE1.K.CH.AH0.W.EH2.R.IY0
argument,AA1.R.G.Y.AH0.M.AH0.N.T
alley,AE1.L.IY0
affirmative,AH0.F.ER1.M.AH0.T.IH0.V
ant,AE1.N.T
antarctica,AE2.N.AA1.R.T.IH0.K.AH0
arachnid,ER0.AE1.K.N.IH0.D
artful,AA1.R.T.F.AH0.L
anger,AE1.NG.G.ER0
allen,AE1.L.AH0.N
agronomy,AH0.G.R.AA1.N.AH0.M.IY0
affable,AE1.F.AH0.B.AH0.L
afraid,AH0.F.R.EY1.D
angle,AE1.NG.G.AH0.L
alibi,AE1.L.AH0.B.AY2
able,EY1.B.AH0.L
aside,AH0.S.AY1.D
adjunct,AE1.JH.AH2.NG.K.T
acumen,AH0.K.Y.UW1.M.AH0.N
alligate,AE1.L.IH0.G.EY0.T
astride,AH0.S.T.R.AY1.D
avengement,AH0.V.IH1.N.JH.M.AH0.N.T
amaryllis,AE2.M.ER0.IH1.L.IH0.S
ancillary,AE1.N.S.AH0.L.EH2.R.IY0
asshole,AE1.S.HH.OW0.L
added,AE1.D.IH0.D
altered,AO1.L.T.ER0.D
alleviate,AH0.L.IY1.V.IY0.EY2.T
anatomy,AH0.N.AE1.T.AH0.M.IY0
offend,AH0.F.EH1.N.D
abut,AH0.B.AH1.T
affirmation,AE2.F.ER0.M.EY1.SH.AH0.N
addict,AE1.D.IH2.K.T
Archie,AA1.R.CH.IY0
alpha,AE1.L.F.AH0
Alabama,AE0.L.AH0.B.AE1.M.AH0
antigone,AE0.T.IH1.G.AH0.N.IY0
afuera,AH0.F.W.EH1.R.AH0
appear,AH0.P.IH1.R
archery,AA1.R.CH.ER0.IY0
forever,F.ER0.EH1.V.ER0
arson,AA1.R.S.AH0.N
admonish,AE2.D.M.AA1.N.IH0.SH
angst,AA1.NG.K.S.T
alarm,AH0.L.AA1.R.M
alumni,AH0.L.AH1.M.N.AY2
dog,D.AO1.G
alleve,AH0.L.IY1.V
astonishing,AH0.S.T.AA1.N.IH0.SH.IH0.NG
ascot,AE1.S.K.AA2.T
aerosol,EH1.R.AH0.S.AA2.L
absurd,AH0.B.S.ER1.D
axe,AE1.K.S
ampere,AE1.M.P.IY0.R
annoyed,AH0.N.OY1.D
aflea,AH0.F.L.IY1
atmosphere,AE1.T.M.AH0.S.F.IH2.R
kite,K.AY1.T
asphalt,AE1.S.F.AO2.L.T
agonize,AE1.G.AH0.N.AY2.Z
