fawn,F.AO1.N
forgone,F.AO0.R.G.AA1.N
forget,F.AO0.R.G.EH1.T
founder,F.AW1.N.D.ER0
fitch,F.IH1.CH
forbidden,F.ER0.R.B.IH1.D.AH0.N
fulcrum,F.UH1.L.K.R.AH0.M
focus,F.OW1.K.IH0.S
felt,F.EH1.L.T
factory,F.AE1.K.T.ER0.IY0
four,F.AO1.R
follow,F.AA1.L.OW0
foe,F.OW1
flask,F.L.AE1.S.K
flash,F.L.AE1.SH
father,F.AA1.DH.ER0
freewheeling,F.R.IY1.HH.W.IY2.L.IH0.NG
farber,F.AA1.R.B.ER0
finally,F.AY1.N.AH0.L.IY0
foster,F.AA1.S.T.ER0
fatal,F.EY1.T.AH0.L
friendly,F.R.EH1.N.L.IY0
fax,F.AE1.K.S
fond,F.AA1.N.D
far,F.AA1.R
fat,F.AE1.T
figment,F.IH1.G.M.IH0.N.T
felicity,F.IH0.L.IH1.S.AH0.T.IY0
fan,F.AE1.N
figs,F.IH1.G.Z
fall,F.AA1.L
fab,F.AE1.B
forgiving,F.AO0.R.G.IH1.V.IH0.NG
fireplace,F.AY1.ER0.P.L.EY2.S
feeble,F.IY1.B.AH0.L
fad,F.AE1.D
fondly,F.AA1.N.D.L.IY0
fragile,F.R.AE1.JH.AH0.L
formica,F.ER0.M.AY1.K.AH0
fink,F.IH1.NG.K
fluidometer,F.L.UW0.IH0.D.AA1.M.AH0.T.ER0
supine,S.UW0.P.AY1.N
french_fries,F.R.EH1.N.CH.F.R.AY1.Z
facsimile,F.AE0.K.S.IH1.M.AH0.L.IY0
freestyling,F.R.IY1.S.T.AY2.L.IH0.NG
farrel,F.EH1.R.AH0.L
fritter,F.R.IH1.T.ER0
flick,F.L.IH1.K
fect,F.EH1.K.T
force,F.AO1.R.S
fence,F.EH1.N.S
franc,F.R.AE1.NG.K
sign,S.AY1.N
fold,F.OW1.L.D
fabulous,F.AE1.B.Y.AH0.L.AH0.S
frankfurter,F.R.AE1.NG.K.F.ER0.T.ER0
further,F.ER1.DH.ER0
feck,F.EH1.K
folk,F.OW1.K
font,F.AA1.N.T
fine,F.AY1.N
fingers,F.IH1.NG.G.ER0.Z
fillet,F.AH0.L.EY1
fossil,F.AA1.S.AH0.L
flowing,F.L.OW1.IH0.NG
fetish,F.EH1.T.IH0.SH
falling,F.AA1.L.IH0.NG
Francis,F.R.AE1.N.S.IH0.S
freaky,F.R.IY1.K.IY0
full,F.UH1.L
ferocious,F.ER0.OW1.SH.AH0.S
festive,F.EH1.S.T.IH0.V
fugue,F.Y.UW1.G
feisty,F.AY1.S.T.IY0
french,F.R.EH1.N.CH
fugitive,F.Y.UW1.JH.IH0.T.IH0.V
fun,F.AH1.N
focused,F.OW1.K.IH0.S.T
fuschia,F.Y.UW1.SH.AH0
ferry,F.EH1.R.IY0
fred,F.R.EH1.D
fifteen,F.IH1.F.T.IY1.N
floofy,F.L.UW1.F.IY0
fratricide,F.R.AE1.T.R.AH0.S.AY2.D
free_press,F.R.IY1.P.R.EH1.S
floorplan,F.L.OW1.R.P.L.AE0.N
franciscan,F.R.AE0.N.S.IH1.S.K.AH0.N
fulfill,F.UH0.L.F.IH1.L
fantastic,F.AE0.N.T.AE1.S.T.IH0.K
family,F.AE1.M.L.IY0
Furasol,F.Y.ER1.AH0.S.AO2.L
feelings,F.IY1.L.IH0.NG.Z
freefloating,F.R.IY1.F.L.OW2.T.IH0.NG
fake,F.EY1.K
fed,F.EH1.D
fee,F.IY1
from,F.ER0.M
faint,F.EY1.N.T
frog,F.R.AA1.G
france,F.R.AE1.N.S
figurative,F.IH1.G.Y.ER0.AH0.T.IH0.V
few,F.Y.UW1
filmy,F.IH1.L.M.IY0
fragrance,F.R.EY1.G.R.AH0.N.S
fush,F.AH1.SH
furor,F.Y.UH1.R.AO0.R
flat,F.L.AE1.T
flaw,F.L.AO1
flap,F.L.AE1.P
fiend,F.IY1.N.D
flay,F.L.EY1
flax,F.L.AE1.K.S
futon,F.UW1.T.AA0.N
fusassee,F.Y.UW0.S.AE1.S.IY0
fuel,F.Y.UW1.L
flag,F.L.AE1.G
frenzy,F.R.EH1.N.Z.IY0
flan,F.L.AE1.N
fly,F.L.AY1
fleece,F.L.IY1.S
flora,F.L.AO1.R.AH0
foxhole,F.AA1.K.S.HH.OW2.L
flu,F.L.UW1
foliage,F.OW1.L.IY0.IH0.JH
fiefdom,F.IY1.F.D.AH0.M
fandango,F.AE0.N.D.AE1.NG.G.OW2
fetch,F.EH1.CH
fortress,F.AO1.R.T.R.AH0.S
figure,F.IH1.G.Y.ER0
flunk,F.L.AH1.NG.K
fragment,F.R.AE1.G.M.AH0.N.T
flung,F.L.AH1.NG
fuck,F.AH1.K
flake,F.L.EY1.K
freshen,F.R.EH1.SH.AH0.N
freckle,F.R.EH1.K.AH0.L
farce,F.AA1.R.S
fraying,F.R.EY1.IH0.NG
fortunately,F.AO1.R.CH.UW0.N.AH0.T.L.IY0
foul,F.AW1.L
six,S.IH1.K.S
feature,F.IY1.CH.ER0
freezer,F.R.IY1.Z.ER0
flatulate,F.L.AE1.CH.AH0.L.EH0.T
flank,F.L.AE1.NG.K
fidgeting,F.IH1.JH.AH0.T.IH0.NG
forest,F.AO1.R.IH0.S.T
fourth,F.AO1.R.TH
furnace,F.ER1.N.AH0.S
fudge,F.AH1.JH
filament,F.IH1.L.AH0.M.AH0.N.T
fare,F.EH1.R
fever,F.IY1.V.ER0
fascist,F.AE1.SH.AH0.S.T
famish,F.AE1.M.IH0.SH
frumpy,F.R.AH1.M.P.IY0
fungus,F.AH1.NG.G.AH0.S
fart,F.AA1.R.T
frat,F.R.AE1.T
fatigue,F.AH0.T.IY1.G
fracas,F.R.EY1.K.AH0.S
faculty,F.AE1.K.AH0.L.T.IY0
floral,F.L.AO1.R.AH0.L
filthy,F.IH1.L.TH.IY0
furniture,F.ER1.N.IH0.CH.ER0
filagree,F.IH1.L.AH0.G.R.IY0
physical,F.IH1.Z.IH0.K.AH0.L
facile,F.AE1.S.AH0.L
facilitate,F.AH0.S.IH1.L.AH0.T.EY2.T
fluent,F.L.UW1.AH0.N.T
fictitious,F.IH0.K.T.IH1.SH.AH0.S
fundamental,F.AH2.N.D.AH0.M.EH1.N.AH0.L
furious,F.Y.UH1.R.IY0.AH0.S
fireball,F.AY1.R.B.AO2.L
Frigidaire,F.R.IH2.JH.IH0.D.EH1.R
furnish,F.ER1.N.IH0.SH
flapper,F.L.AE1.P.ER0
fetter,F.EH1.T.ER0
freckles,F.R.EH1.K.AH0.L.Z
fizzy,F.IH1.Z.IY0
floater,F.L.OW1.T.ER0
fortify,F.AO1.R.T.IH0.F.AY2
fable,F.EY1.B.AH0.L
fidelity,F.AY2.D.EH1.L.AH0.T.IY0
fortunate,F.AO1.R.CH.UW0.N.AH0.T
fealty,F.IY1.L.T.IY0
fissure,F.IH1.SH.ER0
ferry_boat,F.EH1.R.IY0.B.OW1.T
fix,F.IH1.K.S
flawed,F.L.AO1.D
frying_pan,F.R.AY1.IH0.NG.P.AE1.N
fag,F.AE1.G
fib,F.IH1.B
fallopian,F.AH0.L.OW1.P.IY0.AH0.N
fig,F.IH1.G
fade,F.EY1.D
fie,F.AY1
fin,F.IH1.N
fool,F.UW1.L
freeman,F.R.IY1.M.AH0.N
frogs,F.R.AA1.G.Z
finance,F.AY1.N.AE2.N.S
fling,F.L.IH1.NG
fixation,F.IH0.K.S.EY1.SH.AH0.N
frontal,F.R.AH1.N.T.AH0.L
fiesta,F.IY0.EH1.S.T.AH0
flew,F.L.UW1
flint,F.L.IH1.N.T
frigid,F.R.IH1.JH.AH0.D
flea,F.L.IY1
flee,F.L.IY1
flail,F.L.EY1.L
february,F.EH1.B.Y.UW0.W.EH2.R.IY0
feverish,F.IY1.V.ER0.IH0.SH
funicular,F.Y.UW0.N.IH1.K.Y.AH0.L.ER0
fully,F.UH1.L.IY0
feast,F.IY1.S.T
fishing_rod,F.IH1.SH.IH0.NG.R.AA1.D
fiddle,F.IH1.D.AH0.L
fitness,F.IH1.T.N.AH0.S
found,F.AW1.N.D
fairy,F.EH1.R.IY0
friendship,F.R.EH1.N.SH.IH0.P
forthright,F.AO1.R.TH.R.AY1.T
fruitcake,F.R.UW1.T.K.EY2.K
financial,F.AY2.N.AE1.N.SH.AH0.L
fired,F.AY1.ER0.D
foleyjn,F.OW0.L.EY1.N
fairly,F.EH1.R.L.IY0
reference,R.EH1.F.R.AH0.N.S
fish,F.IH1.SH
frisky,F.R.IH1.S.K.IY0
fixture,F.IH1.K.S.CH.ER0
frequency,F.R.IY1.K.W.AH0.N.S.IY0
flummox,F.L.AH0.M.AO1.K.S
fist,F.IH1.S.T
forgot,F.AO0.R.G.AA1.T
flock,F.L.AA1.K
factoid,F.AE1.K.T.OY0.D
fondle,F.AO1.N.D.AH0.L
flower,F.L.AW1.ER0
funding,F.AH1.N.D.IH0.NG
frontier,F.R.AH0.N.T.IH1.R
furthermore,F.ER1.DH.ER0.M.AO2.R
freeze,F.R.IY1.Z
fathom,F.AE1.DH.AH0.M
fellows,F.EH1.L.OW0.Z
farm,F.AA1.R.M
fountain,F.AW1.N.T.AH0.N
five_hundred,F.AY1.V.HH.AH1.N.D.ER0.D
Frankenstein,F.R.AE1.NG.K.AH0.N.S.T.AY2.N
formula,F.AO1.R.M.Y.AH0.L.AH0
faddle,F.AE1.D.AH0.L
foundation,F.AW0.N.D.EY1.SH.AH0.N
fiber,F.AY1.B.ER0
frank,F.R.AE1.NG.K
friday,F.R.AY1.D.EY2
forgive,F.AO0.R.G.IH1.V
free,F.R.IY1
foible,F.OY1.B.AH0.L
fourteen,F.AO2.R.T.IY1.N
flyer,F.L.AY1.ER0
formation,F.AO0.R.M.EY1.SH.AH0.N
Frankfurt,F.R.AE1.NG.K.F.ER0.T
fret,F.R.EH1.T
faucet,F.AO1.S.AH0.T
pharoah,F.EH1.R.OW0
farsight,F.AA1.R.S.AY0.T
filter,F.IH1.L.T.ER0
funky,F.AH1.NG.K.IY0
flanders,F.L.AE1.N.D.ER0.Z
fleck,F.L.EH1.K
fallen,F.AA1.L.AH0.N
frequent,F.R.IY1.K.W.EH2.N.T
first,F.ER1.S.T
feed,F.IY1.D
feign,F.EY1.N
frozen,F.R.OW1.Z.AH0.N
features,F.IY1.CH.ER0.Z
feel,F.IY1.L
frap,F.R.AE1.P
fancy,F.AE1.N.S.IY0
felicitous,F.IH0.L.IH1.S.AH0.T.AH0.S
feet,F.IY1.T
fantasy,F.AE1.N.AH0.S.IY0
filigree,F.IH1.L.AH0.G.R.IY2
florist,F.L.AO1.R.AH0.S.T
filial,F.IH1.L.IY0.AH0.L
phantasmagorical,F.AE0.N.T.AE1.Z.M.AH0.G.OW2.R.AH0.K.AH0.L
fascinating,F.AE1.S.AH0.N.EY2.T.IH0.NG
festival,F.EH1.S.T.IH0.V.AH0.L
flourish,F.L.ER1.IH0.SH
fiction,F.IH1.K.SH.AH0.N
flimsy,F.L.IH1.M.Z.IY0
fortuitous,F.AO0.R.T.UW1.IH0.T.AH0.S
fumble,F.AH1.M.B.AH0.L
fiery,F.AY1.ER0.IY0
ferocity,F.AH0.R.AA1.S.AH0.T.IY0
final,F.AY1.N.AH0.L
friend,F.R.EH1.N
filibuster,F.IH1.L.AH0.B.AH2.S.T.ER0
festivity,F.EH0.S.T.IH1.V.AH0.T.IY0
flippant,F.L.IH1.P.AH0.N.T
fanatical,F.AH0.N.AE1.T.IH0.K.AH0.L
formulate,F.AO1.R.M.Y.AH0.L.EY2.T
flowery,F.L.AW1.ER0.IY0
formaldehyde,F.ER0.M.AE1.L.D.AH0.HH.AY2.D
fidget,F.IH1.JH.IH0.T
fuzzy,F.AH1.Z.IY0
flattery,F.L.AE1.T.ER0.IY0
frankly,F.R.AE1.NG.K.L.IY0
folly,F.AA1.L.IY0
Farmville,F.AA1.R.M.V.IH1.L
future,F.Y.UW1.CH.ER0
flame,F.L.EY1.M
adducent,AE0.D.Y.UW1.S.AH0.N.T
feeling,F.IY1.L.IH0.NG
forceful,F.AO1.R.S.F.AH0.L
function,F.AH1.NG.K.SH.AH0.N
fashion,F.AE1.SH.AH0.N
false,F.AO1.L.S
froth,F.R.AO1.TH
footnote,F.UH1.T.N.OW2.T
Farmington,F.AA1.R.M.IH0.NG.T.AH0.N
financier,F.AY2.N.AE0.N.S.IH1.R
faux,F.OW1
frond,F.R.AA1.N.D
fauna,F.AO1.N.AH0
febrile,F.EH1.B.R.AY0.L
fracture,F.R.AE1.K.SH.ER0
frail,F.R.EY1.L
falconry,F.AE1.L.K.AH0.N.R.IY0
finagle,F.IH0.N.EY1.G.AH0.L
firefly,F.AY1.ER0.F.L.AY2
frost,F.R.AO1.S.T
flute,F.L.UW1.T
fresco,F.R.EH1.S.K.OW0
frankenstein,F.R.AE1.NG.K.AH0.N.S.T.IY2.N
refrigerator,R.IH0.F.R.IH1.JH.ER0.EY2.T.ER0
forever,F.ER0.EH1.V.ER0
functionable,F.AH1.N.K.SH.AH0.N.AH0.B.AH0.L
feminine,F.EH1.M.AH0.N.AH0.N
foist,F.OY1.S.T
flop,F.L.AA1.P
flow,F.L.OW1
filly,F.IH1.L.IY0
face,F.EY1.S
freeway,F.R.IY1.W.EY2
flog,F.L.AA1.G
fact,F.AE1.K
fussy,F.AH1.S.IY0
forage,F.AO1.R.IH0.JH
flicker,F.L.IH1.K.ER0
friction,F.R.IH1.K.SH.AH0.N
fifty,F.IH1.F.T.IY0
femur,F.IY1.M.ER0
fennel,F.EH1.N.AH0.L
freight,F.R.EY1.T
fife,F.AY1.F
fear,F.IH1.R
firehose,F.AY1.ER0.H.OW2.Z
feat,F.IY1.T
find,F.AY1.N.D
fifth,F.IH1.F.TH
fend,F.EH1.N.D
flowers,F.L.AW1.ER0.Z
flapjack,F.L.AE1.P.JH.AE2.K
front,F.R.AH1.N.T
fulsome,F.UH1.L.S.AH0.M
French,F.R.IH1.N.CH
Fred,F.R.EH1.D
failed,F.EY1.L.D
fickle,F.IH1.K.AH0.L
factor,F.AE1.K.T.ER0
folks,F.OW1.K.S
flinch,F.L.IH1.N.CH
Fiat,F.IY1.AA0.T
founding,F.AW1.N.D.IH0.NG
familiar,F.AH0.M.IH1.L.Y.ER0
freezing,F.R.IY1.Z.IH0.NG
fluid,F.L.UW1.IH0.D
foremost,F.AO1.R.M.OW2.S.T
famous,F.EY1.M.AH0.S
ferret,F.EH1.R.AH0.T
fraud,F.R.AO1.D
factotum,F.AE0.K.T.OW1.T.AH0.M
familial,F.AH0.M.IH1.L.Y.AH0.L
frying,F.R.AY1.IH0.NG
fluff,F.L.AH1.F
fallible,F.AE1.L.AH0.B.AH0.L
frolicking,F.R.AA1.L.IH0.K.IH0.NG
bag,B.AE1.G
fortitude,F.AO1.R.T.IH0.T.UW2.D
futuristic,F.Y.UW2.CH.ER0.IH1.S.T.IH0.K
fishing,F.IH1.SH.IH0.NG
fragrant,F.R.EY1.G.R.AH0.N.T
forensic,F.AO2.R.EH1.N.S.IH0.K
farthest,F.AA1.R.DH.AH0.S.T
fair,F.EH1.R
frame,F.R.EY1.M
signs,S.AY1.N.Z
France,F.R.AE1.N.S
famine,F.AE1.M.AH0.N
fail,F.EY1.L
forthcoming,F.AO1.R.TH.K.AH1.M.IH0.NG
ferris_wheel,F.EH1.R.IH0.S.HH.W.IY1.L
fang,F.AE1.NG
frugal,F.R.UW1.G.AH0.L
federal,F.EH1.D.R.AH0.L
forlorn,F.ER0.L.AO1.R.N
feline,F.IY1.L.AY2.N
familiarity,F.AH0.M.IH2.L.Y.EH1.R.AH0.T.IY0
fission,F.IH1.SH.AH0.N
favor,F.EY1.V.ER0
finger,F.IH1.NG.G.ER0
frustrated,F.R.AH1.S.T.R.EY2.T.AH0.D
forsake,F.AO0.R.S.EY1.K
fruity,F.R.UW1.T.IY0
fiddling,F.IH1.D.L.IH0.NG
fugle,F.Y.UW1.G.AH0.L
franchise,F.R.AE1.N.CH.AY2.Z
foxtrot,F.AA1.K.S.T.R.AA0.T
frump,F.R.AH1.M.P
fit,F.IH1.T
fault,F.AO1.L.T
fulminate,F.UH1.L.M.AH0.N.EY2.T
foibles,F.OY1.B.AH0.L.Z
facet,F.AE1.S.AH0.T
fraternity,F.R.AH0.T.ER1.N.IH0.T.IY0
forgotten,F.AO0.R.G.AA1.T.AH0.N
flipper,F.L.IH1.P.ER0
fry,F.R.AY1
fester,F.EH1.S.T.ER0
flier,F.L.AY1.ER0
freakish,F.R.IY1.K.IH0.SH
forklift,F.AO1.R.K.L.IH2.F.T
football,F.UH1.T.B.AO2.L
froeh,F.R.OW1
forehand,F.AO1.R.HH.AE2.N.D
famished,F.AE1.M.IH0.SH.T
filth,F.IH1.L.TH
fleeting,F.L.IY1.T.IH0.NG
fowl,F.AW1.L
frisk,F.R.IH1.S.K
frighten,F.R.AY1.T.AH0.N
flexible,F.L.EH1.K.S.AH0.B.AH0.L
faulkner,F.AO1.K.N.ER0
finial,F.IH1.N.IY0.AH0.L
firm,F.ER1.M
field,F.IY1.L.D
families,F.AE1.M.L.IY0.Z
frito,F.R.IY1.T.OW0
fire,F.AY1.R
fours,F.AO1.R.Z
farmer,F.AA1.R.M.ER0
fund,F.AH1.N.D
finished,F.IH1.N.IH0.SH.T
fuzz,F.AH1.Z
folklore,F.OW1.K.L.AO2.R
foggy,F.AA1.G.IY0
fudgecicle,F.AH2.JH.S.IH1.K.AH0.L
former,F.AO1.R.M.ER0
funk,F.AH1.NG.K
furrow,F.ER1.OW0
forty,F.AO1.R.T.IY0
fur,F.ER1
sly,S.L.AY1
fearful,F.IH1.R.F.AH0.L
fornicate,F.OW1.R.N.IH0.K.EY0.T
forefinger,F.AO1.R.F.IH2.NG.G.ER0
frappe,F.R.AE0.P.EY1
fleet,F.L.IY1.T
fum,F.AH1.M
foretell,F.AO0.R.T.EH1.L
follicle,F.AA1.L.IH0.K.AH0.L
fuji_apples,F.UW1.JH.IY0.AE1.P.AH0.L.Z
frantic,F.R.AE1.N.T.IH0.K
frigidair,F.R.IH1.JH.IH0.D.EY0.R
foreign,F.AA1.R.AH0.N
fame,F.EY1.M
funny,F.AH1.N.IY0
finalize,F.AY1.N.AH0.L.AY2.Z
fur_coat,F.ER1.K.OW1.T
fender,F.EH1.N.D.ER0
food,F.UW1.D
figurine,F.IH2.G.Y.ER0.IY1.N
fraternal,F.R.AH0.T.ER1.N.AH0.L
finite,F.AY1.N.AY2.T
frivolous,F.R.IH1.V.AH0.L.AH0.S
Faygo,F.EY1.G.OW0
fenugreek,F.EH1.N.UW0.G.R.IY2.K
finish,F.IH1.N.IH0.SH
fuss,F.AH1.S
fielded,F.IY1.L.D.IH0.D
foal,F.OW1.L
foam,F.OW1.M
fridge,F.R.IH1.JH
frankincense,F.R.AE1.NG.K.AH0.N.S.EH2.N.S
flurry,F.L.ER1.IY0
flown,F.L.OW1.N
fierce,F.IH1.R.S
forte,F.AO1.R.T
focal,F.OW1.K.AH0.L
flirty,F.L.ER0.T.IY0
fasting,F.AE1.S.T.IH0.NG
frankness,F.R.AE1.NG.K.N.AH0.S
fill_up,F.IH1.L.AH1.P
failing,F.EY1.L.IH0.NG
fighting,F.AY1.T.IH0.NG
solve,S.AO1.L.V
savvy,S.AE1.V.IY0
fiesty,F.AY1.S.T.IY0
flesh,F.L.EH1.SH
fume,F.Y.UW1.M
forison,F.OW1.R.IH0.S.AH0.N
foot,F.IY1.T
farther,F.AA1.R.DH.ER0
facts,F.AE1.K.S
flavor,F.L.EY1.V.ER0
flood,F.L.AH1.D
furry,F.ER1.IY0
Friday,F.R.AY1.D.EY0
formal,F.AO1.R.M.AH0.L
frown,F.R.AW1.N
fate,F.EY1.T
format,F.AO1.R.M.AE2.T
foamite,F.OW1.M.AY0.T
referral,R.IH0.F.ER1.AH0.L
flatulence,F.L.AE1.CH.AH0.L.AH0.N.S
fusion,F.Y.UW1.ZH.AH0.N
five,F.AY1.V
facial,F.EY1.SH.AH0.L
falcon,F.AE1.L.K.AH0.N
foamy,F.OW1.M.IY0
flannel,F.L.AE1.N.AH0.L
flamingo,F.L.AH0.M.IH1.NG.G.OW0
fortune,F.AO1.R.CH.UW0.N
feral,F.EH1.R.AH0.L
fridgerator,F.R.IH1.JH.ER0.EY2.T.ER0
fisticuffs,F.IH1.S.T.IH0.K.AH2.F.S
frizzy,F.R.IH1.Z.IY0
flux,F.L.AH1.K.S
forty-four,F.AO1.R.T.IY0.F.AO1.R
foolish,F.UW1.L.IH0.SH
frosty,F.R.AO1.S.T.IY0
flatter,F.L.AE1.T.ER0
flagrant,F.L.EY1.G.R.AH0.N.T
fodder,F.AA1.D.ER0
fruit,F.R.UW1.T
felonious,F.EH0.L.OW1.N.IY0.AH0.S
fumigate,F.Y.UW1.M.AH0.G.EY2.T
flatten,F.L.AE1.T.AH0.N
flush,F.L.AH1.SH
Fargo,F.AA1.R.G.OW0
fiduciary,F.AH0.D.UW1.SH.IY0.EH2.R.IY0
for,F.AO1.R
foosball,F.UW1.S.B.AA0.L
Frank,F.R.AE1.NG.K
fondue,F.AA1.N.D.UW2
fox,F.AA1.K.S
fedex,F.EH1.D.EH1.K.S
flounder,F.L.AW1.N.D.ER0
floss,F.L.AA1.S
fog,F.AO1.G
Facebook,F.EY1.S.B.UH0.K
fob,F.AO1.B
forgiven,F.AO0.R.G.IH1.V.AH0.N
fanny,F.AE1.N.IY0
freed,F.R.IY1.D
free_swinging,F.R.IY1.S.W.IH1.NG.IH0.NG
fables,F.EY1.B.AH0.L.Z
fantasize,F.AE1.N.AH0.S.AY2.Z
francis,F.R.AE1.N.S.IH0.S
finicky,F.IH1.N.AH0.K.IY0
furtive,F.ER1.T.IH0.V
fibula,F.IH1.B.Y.AH0.L.AH0
faith,F.EY1.TH
filipino,F.IH2.L.AH0.P.IY1.N.OW0
freedom,F.R.IY1.D.AH0.M
fringe,F.R.IH1.N.JH
favorite,F.EY1.V.R.AH0.T
French_vanilla,F.R.IH1.N.CH.V.AH0.N.IH1.L.AH0.V.AH0.N.IH1.L.AH0
foretold,F.AO0.R.T.OW1.L.D
formicate,F.OW1.R.M.IH0.K.EY2.T
frizzle,F.R.IH1.Z.AH0.L
fantasia,F.AE0.N.T.EY1.ZH.AH0
fertile,F.ER0.T.AY1.L
froze,F.R.OW1.Z
fumed,F.Y.UW1.M.D
facility,F.AH0.S.IH1.L.IH0.T.IY0
float,F.L.OW1.T
fredericksburg,F.R.EH1.D.ER0.IH0.K.S.B.ER0.G
fern,F.ER1.N
fumes,F.Y.UW1.M.Z
finely,F.AY1.N.L.IY0
farragut,F.EH1.R.AH0.G.AH0.T
female,F.IY1.M.EY2.L
fruitful,F.R.UW1.T.F.AH0.L
frightened,F.R.AY1.T.AH0.N.D
feudal,F.Y.UW1.D.AH0.L
forth,F.AO1.R.TH
fabric,F.AE1.B.R.IH0.K
friends,F.R.EH1.N.Z
flying,F.L.AY1.IH0.NG
frill,F.R.IH1.L
fast,F.AE1.S.T
fight,F.AY1.T
ferris,F.EH1.R.IH0.S
fought,F.AO1.T
futile,F.Y.UW1.T.AH0.L
fraction,F.R.AE1.K.SH.AH0.N
forward,F.AO1.R.W.ER0.D
fork,F.AO1.R.K
funnel,F.AH1.N.AH0.L
fustoubin,F.AH0.S.T.UW1.B.IH0.N
form,F.AO1.R.M
fanatic,F.AH0.N.AE1.T.IH0.K
fascination,F.AE2.S.AH0.N.EY1.SH.AH0.N
fastidious,F.AE0.S.T.IH1.D.IY0.AH0.S
forgetful,F.ER0.G.EH1.T.F.AH0.L
fore,F.AO1.R
ford,F.AO1.R.D
failure,F.EY1.L.Y.ER0
Farkle,F.AA1.R.K.AH0.L
feather,F.EH1.DH.ER0
fort,F.AO1.R.T
flamboyant,F.L.AE0.M.B.OY1.AH0.N.T
fabricate,F.AE1.B.R.AH0.K.EY2.T
fries,F.R.AY1.Z
flip,F.L.IH1.P
flirt,F.L.ER1.T
faggot,F.AE1.G.AH0.T
fried,F.R.IY1.D
flib,F.L.IH1.B
freak,F.R.IY1.K
fright,F.R.AY1.T
forearm,F.AO1.R.AA2.R.M
frederick,F.R.EH1.D.ER0.IH0.K
fellow,F.EH1.L.OW0
Fritos,F.R.IY1.T.OW0.Z
file,F.AY1.L
flight,F.L.AY1.T
film,F.IH1.L.M
fill,F.IH1.L
phantom,F.AE1.N.AH0.M
folio,F.OW1.L.IY0.OW0
floor,F.L.AO1.R
fencing,F.EH1.N.S.IH0.NG
fifty-five,F.IH1.F.T.IY0.F.AY1.V
finch,F.IH1.N.CH
forge,F.AO1.R.JH
freighter,F.R.EY1.T.ER0
frolic,F.R.AA1.L.IH0.K
febreeze,F.EH0.B.R.IY1.Z
frisbee,F.R.IH1.S.B.IY0
faction,F.AE1.K.SH.AH0.N
finale,F.AH0.N.AE1.L.IY0
faintly,F.EY1.N.T.L.IY0
flange,F.L.AE1.N.JH
flubber,F.L.AH1.B.ER0
foil,F.OY1.L
fell,F.EH1.L
fisher,F.IH1.SH.ER0
father_in_law,F.AA1.DH.ER0.IH1.N.L.AA1
fiscal,F.IH1.S.K.AH0.L
fighter,F.AY1.T.ER0
faster,F.AE1.S.T.ER0
phone,F.OW1.N
fertilize,F.ER1.T.AH0.L.AY2.Z
firebrand,F.AY1.ER0.B.R.AE2.N.D
fuse,F.Y.UW1.Z
fizzle,F.IH1.Z.AH0.L
fresh,F.R.EH1.SH
foreshadowing,F.AO0.R.SH.AE1.D.OW0.IH0.NG
phlegm,F.L.IH1.M
